studio_key,name,icon,location,address,founded,description,culture,unique,values,games
tripledot-games,Tripledot Games,TG,"London, UK / Barcelona, Spain / Warsaw, Poland",,2017,"Our flagship studio and the heart of the Tripledot group. We build casual puzzle games that have become some of the most-played mobile titles in the world — Woodoku alone has been downloaded hundreds of millions of times. If you love obsessing over product quality and working with some of the sharpest minds in mobile gaming, this is your home.",We move fast and care deeply about craft. Our culture is data-obsessed but genuinely collaborative — we take the work seriously without taking ourselves too seriously. You'll be surrounded by people who challenge you to do your best work every day.,"We sit at the intersection of world-class product thinking and deep data science. Every major decision is grounded in evidence — but there's real creative ambition behind the numbers. Ideas move fast here, and great ones get built.","Data first|Every meaningful decision is grounded in evidence. We think of ourselves as a data company that works in games.;;Player obsessed|If it does not work for the player, it does not ship. Full stop.;;Move with intent|We move fast, but thoughtfully.;;Better together|Close collaboration is not a process here — it is how we work.",Woodoku;;Solitaire;;Triple Tile
ludios,Ludios,LU,"Melbourne, Australia / Jakarta, Indonesia",,2019,"Our APAC studio, led by Tripledot co-founder Eyal Chameides. Based across Melbourne and Jakarta, we build casual puzzle games with a genuine passion for craft and player experience. Eyal has shipped dozens of titles across his career and that depth of game design expertise runs through everything we do.","We're creative and craft-led, with a strong sense of ownership at every level. You'll have real autonomy over your work, a team that trusts you to deliver, and a founder who genuinely cares about building great games.",We combine the creative sensibility of an indie studio with Tripledot's world-class data infrastructure. That means our games feel handcrafted — because they are — but they're also rigorously optimised for real players at scale.,"Craft above all|Great games start with great craft.;;Think global|We build for players worldwide.;;Ownership mindset|Real ownership, real accountability.;;Iterate relentlessly|Build, learn, improve — continuously.",Tantular;;Loki
peoplefun,PeopleFun,PF,"Dallas, TX, USA",,2011,"Our word games studio, based in Dallas. We're home to Wordscapes — one of the most beloved word games ever made, with hundreds of millions of downloads and a passionate global audience. If you want to work on a product that genuinely matters to people, this is the place.","We're collaborative and remote-friendly, with a genuine love for word games and a strong sense of product ownership. We make decisions with data but we never forget that great games require creative instinct too.",We've built and sustained one of the most beloved casual game franchises in mobile history. Wordscapes has a loyal player base that keeps coming back year after year — and we're still finding new ways to grow and innovate on top of that foundation.,"Curiosity drives us|We ask why and never stop improving.;;Player delight|We build games that respect and reward players.;;Grow together|When the studio succeeds, everyone succeeds.;;Evidence over opinion|Data decides.",Wordscapes;;Wordscapes Solitaire;;Blockscapes
lion,Lion Studios,LS,"US & Berlin, Germany",,2018,"Our hyper-casual and hybrid-casual studio, operating across the US and Berlin. We're the team behind Hexa Sort and the official mobile Wordle — two games that became global phenomena through elegant design and relentless testing. We move fast, learn fast, and love turning simple ideas into chart-topping hits.","We have a strong bias to action — ideas get prototyped fast, and data tells us what lives or dies. It's an energetic environment that rewards initiative and loves people who are hungry to see their work reach millions of players.",We have a rare and proven ability to take a simple concept and scale it into a global hit. Our track record speaks for itself — and we're always looking for the next one.,Bias to action|Speed of learning over speed of talking.;;Embrace experiments|Most things fail — that is fine. We learn and double down.;;Think at scale|Every decision made with millions of players in mind.;;Simple is hard|We sweat the details so players do not have to.,Hexa Sort;;Wordle;;Found It
clipwire,Clipwire Games,CW,"Toronto, Canada",,2012,"Our card and casino studio, based in Toronto. We build licensed IP and original titles including Monopoly Bingo and The Price Is Right: Bingo — combining iconic brand partnerships with genuine expertise in the social gaming space. We've been doing this for over a decade and we're really good at it.","We're a tight-knit team that's worked together for a long time. That shows in how we operate — low friction, high trust, and a genuine shared love for the social gaming genre. It's a place where experience is respected and people stick around.","We've built something genuinely rare: a sustainable, profitable portfolio of social casino games anchored by iconic licensed brands. Our combination of IP partnerships and product fundamentals gives us a defensible position in a competitive market — and we're not done yet.",One team|Years of working together shows in how we operate.;;Know your player|We understand social casino players deeply.;;Quality partnerships|Built on trust and track record.;;Sustainable growth|Long-term thinking is in our DNA.,Bingo Story;;Monopoly Bingo;;The Price Is Right: Bingo
machine-zone,Machine Zone,MZ,United States,,2008,"Our mid-core studio, based in the US. We're home to some of the most iconic strategy titles in mobile gaming history — titles that helped define the genre and built communities of millions of players. We bring over a decade of experience operating games at massive scale.","We're results-oriented and experienced. High standards, high output, and a deep respect for craft. This is a team that has seen a lot and knows how to operate at the highest level.","We built some of the defining titles of the mid-core mobile era. That institutional knowledge, technical infrastructure and operational depth is genuinely hard to find anywhere else in the industry.",Operational excellence|Rigour and reliability are not optional.;;Community first|Players build communities around our games.;;Always live|Our games never sleep.;;Deep expertise|We value people who go deep.,Mobile Strike;;Game of War
athena,Athena Studio,AS,"Ho Chi Minh City, Vietnam",,2021,"Our Vietnam-based studio, focused on casual puzzle games for a global audience. We're a fast-moving, technically strong team that builds and ships at pace — and we're growing fast within the Tripledot group.","We're energetic, collaborative, and serious about quality. The team is relatively young but punches well above its weight. It's a place where you can make a real impact quickly and shape the direction of the studio from the ground up.","We're a studio on the rise — growing fast, building a strong track record, and doing it as part of one of the most successful mobile games companies in the world. If you want real ownership and the chance to grow with something exciting, this is the opportunity.","Growth mindset|We are all growing with it.;;Move fast|Velocity is a competitive advantage.;;Quality matters|No shortcuts, even under pressure.;;Global ambition|Vietnamese studio, global impact.",Woody Block Puzzle;;Woody 99
zephyr,Zephyr Mobile,ZM,UK & Europe,,2020,"Our casual puzzle studio within the Tripledot Games family. We focus on classic puzzle formats reimagined for modern mobile players — testing rapidly, iterating constantly, and building games that genuinely delight.","We operate with the agility of a startup and the resources of a scaled group. Small team, fast decisions, clear ownership — and the backing of Tripledot's data and distribution infrastructure behind us.","We have a rare combination: the speed and feel of a small studio with the tools, data, and reach of a much larger organisation. That's a genuinely powerful place to build from.","Startup energy|Small team, big ambitions.;;Classic reimagined|Proven formats, fresh execution.;;Connected independence|Agility plus resources.;;Data shapes decisions|Evidence-based product thinking.",Classic puzzle titles
zenlife,Zenlife Games,ZL,China / Singapore,,2018,"Our casual and word games studio, operating across China and Singapore. Formerly Zenjoy, we've built deep expertise in building games that work across Eastern and Western markets simultaneously — something very few studios have genuinely cracked.","We're cross-cultural, ambitious, and genuinely curious about our players. Our team bridges different game development traditions and that diversity of perspective makes us better at what we do.",We've solved something genuinely hard: building games that resonate deeply with very different audiences at the same time. That cross-cultural product expertise is rare and it's at the core of everything we build.,East meets West|Cross-cultural expertise is our edge.;;Creative meets data|Neither works without the other.;;Respect the player|No shortcuts for different markets.;;Adapt and grow|Stay curious and keep up.,Cooking Madness;;Word Connect
zero-gravity,Zero Gravity,ZG,China,,2015,"Our social casino studio, based in China. We've built a strong portfolio of high-performing titles by combining deep genre expertise with sharp product instincts. We know our players, we know our genre, and we know how to build sustainable businesses around both.","We're product-focused and commercially minded. We take our craft seriously and build with a clear sense of who we're building for. It's a focused, experienced team that values people who care as much about the details as we do.","We've built a profitable, durable business in one of the most competitive genres in mobile gaming. Our understanding of social casino player behaviour and monetisation is a genuine competitive advantage — and it's taken years to develop.",Know the genre|Genre knowledge separates great products.;;Commercial discipline|Revenue and experience are aligned.;;Player understanding|We know what keeps players coming back.;;Optimise everything|Every metric tracked and improved.,Cash Tornado Slots;;Jackpot Masters Slots
